"Novalnet Merchant ID","Novalnet Händler ID"
"Order Status Before Payment","Bestellstatus vor der zahlung"
"Order Status After Payment","Bestellstatus nach zahlung"
"Order Status After Successful Payment","Bestellstatus nach erfolgreicher Zahlung"
"Manual checking of order","Manuelle Überprüfung der Bestellung ab einem Betrag (in Cent) (Anmerkung: dies ist eine Zahlung on hold, welche Sie manuell überprüfen und aktivieren müssen.)"
"Manual checking of order Desc","Alle Bestellungen über diesem Betrag werden von Novalnet on hold gesetzt. Erst nach Ihrer manuellen Überprüfung und Bestätigung bei Novalnet, wird die Buchung ausgeführt."
"Second Product ID for manual check condition","Zweite Produkt-ID für manuell überprüfte Buchungen"
"Second Product ID in Novalnet to use the manual check condition","Zweite Produkt-ID bei Novalnet, um Buchungen manuell zu überprüfen."
"Second Tariff ID for manual check condition","Zweite Tarif-ID, für manuell überprüfte Buchungen"
"Second Tariff ID in Novalnet to use the manual check condition","Zweite Tarif-ID bei Novalnet, um Buchungen manuell zu überprüfen."
"Auto refill the payment data entered in payment page","Eingabefelder des Bezahlformulars automatisch mit den Eingabedaten befüllen. (Auto-refill)"
"Transaction reference 1","1. Verwendungszweck"
"Transaction reference 2","2. Verwendungszweck"
"This will appear in the transactions details / account statement","Dies erscheint in den Transaktionsdetails / im Kontoauszug."
"Information to the end customer (this will appear in the payment page)","Informationen für den Endkunden (dies erscheint im Bezahlformular)"
"User Group Excluded","Ausgeschlossene Benutzergruppe"
"Excluded User Group Desc","Geben Sie hier die IDs der Benutzergruppen (durch Komma getrennt) ein. Diese finden Sie unter Kunden → Kundengruppen"
"Gateway Timeout","Zeitüberschreitung bei der Schnittstelle"
"Gateway Timeout in seconds","Zeitlimit der Schnittstelle in Sekunden"
"Payment from applicable countries","Zahlung aus zugelassenen Ländern"
"Payment from Specific countries","Länderauswahl für Zahlungsmöglichkeit"
"Novalnet Minimum Order Total","Mindestwert für Gesamtbestellung (in Euro)"
"Novalnet Maximum Order Total","Höchstwert für Gesamtbestellung (in Euro)"
"Novalnet Minimum Orders Count","Mindestanzahl an Bestellungen"
"Novalnet Minimum Orders Count Desc","Standardwert: ""0"" (Prüfung deaktiviert) | Mindestanzahl der vorherigen Bestellungen des Endkunden, damit dieser diese Zahlungsart verwenden darf."
"Novalnet Sort Order","Sortierung nach"
"Sort order of display. Lowest is displayed first.","Sortierung der Anzeige. Der niedrigste Wert wird zuerst angezeigt."
"Direct Debit SEPA","Lastschrift SEPA"
"SEPA Payment duration in days","SEPA Zahlungsdauer in Tagen"
"SEPA Due Date description","Tragen Sie das Fälligkeitsdatum in Tagen ein, es sollten mehr als 6 Tage sein. Eine fehlerhafte Eingabe wird automatisch als 7 Tage übernommen."
"Display Novalnet Transaction ID for Cancelled Order","Anzeige Novalnet TID für Fehler Bestellen"
"Minimum Amount For Callback (in cents)","Grenzwert (Mindestbetrag) in Cent für Rückruf"
"PIN by Callback/SMS/E-Mail Desc","Wenn PIN by Callback / SMS / E-Mail aktiviert ist, wird der Kunde gebeten, seine Telefonnummer / Handynummer / E-Mail einzugeben. Per Telefon oder SMS erhält der Kunde eine PIN von Novalnet AG, die vor der Bestellung eingegeben werden muß. Wenn die PIN gültig ist, ist die Zahlung erfolgreich beendet, andernfalls wird der Kunde erneut aufgefordert, die PIN einzugeben. Dieser Service ist nur für Kunden aus bestimmten Ländern verfügbar."
"Fraud prevention through PIN by Callback/SMS/E-Mail","Betrugs prävention durch PIN by Callback/SMS/E-Mail"
"Enable the payment Method and activate the Risk and Control option","Zahlungsart und Risikomanagement-Einstellungen aktivieren"
"Testorder","Testbestellung"
"Novalnet Transaction ID: %s","Novalnet Transaktions-ID: %s"
"NN Account Holder","Kontoinhaber"
"Mobile phone number","Handy-Nummer"
"Ihre Telefon- / Mobil- Nummer","Telefonnummer"
"Callback","Callback"
"Note for pin by sms and callback","Nachdem Sie auf den Button ""Weiter"" geklickt haben, erhalten Sie in Kürze eine PIN via Telefon / SMS. Geben Sie diese PIN bitte in das passende Textfeld ein."
"PIN","PIN"
"Forgot PIN? [New PIN Request]","PIN vergessen? [Neue PIN beantragen]"
"E-mail Address","E-mail Adresse"
"Please Note: This transaction will run on TEST MODE and the amount will not be charged","Bitte beachten Sie: Diese Transaktion wird im Test-Modus ausgeführt werden und der Betrag wird nicht belastet werden."
"The amount will be booked immediately from your credit card.","Die Belastung Ihrer Kreditkarte erfolgt mit dem Abschluss der Bestellung."
"Your account will be debited upon delivery of goods.","Die Belastung Ihres Kontos erfolgt mit dem Versand der Ware."
"The Bank details will be emailed to you soon after the completion of checkout process","Die Bankverbindung wird Ihnen nach Abschluss Ihrer Bestellung per E-Mail zugeschickt."
"You will be redirected to Novalnet AG website when you place an order.","Sie werden zur Website der Novalnet AG umgeleitet, sobald Sie die Bestellung bestätigen."
"You will be redirected to Novalnet AG in a few seconds.","Sie werden in wenigen Sekunden zur Novalnet AG weitergeleitet."
"Customer was redirected to Novalnet","Der Endkunde wird zu Novalnet umgeleitet. "
"Payment Failed","Zahlung fehlgeschlagen"
"Payment was successful.","Die Zahlung war erfolgreich."
"Customer successfully returned from Novalnet","Der Kunde wurde erfolgreich von Novalnet zurückgeleitet."
"Payment was not successfull","Die Zahlung war nicht erfolgreich. Ein Fehler trat auf."
"successful","erfolgreiche"
"Please transfer the invoice amount with the following information to our payment provider Novalnet AG","Bitte überweisen Sie den Betrag mit der folgenden Information an unseren Zahlungsdienstleister Novalnet AG"
"Due Date","Fälligkeitsdatum"
"NN_Bank","Bank"
"NN_Amount","Betrag"
"NN_Reference","Verwendungszweck"
"Only for foreign transfers","Nur bei Auslandsüberweisungen"
"The order has been updated.","Der Auftrag wurde aktualisiert."
"Required parameter not valid","Ungültiger Wert für Pflichtfeld"
"Gateway request error: %s","Fehler beim übertragen der Daten: %s"
"Error in capturing the payment","Fehler bei der Durchführung der Zahlung"
"SEPA Due date is not valid","SEPA Fälligkeitsdatum Ungültiger"
"Manual limit amount / Product-ID2 / Tariff-ID2 is not valid","Ungültige Bestellgrenze / 2. Produkt-ID / 2. Tarif-ID"
"Customer name/email fields are not valid","Ungültige Werte für die Felder Kundenname-/email"
"Please reply to the e-mail","Wir haben Ihnen eine Email geschickt, beantworten Sie diese bitte."
"You will shortly receive a PIN by phone / SMS. Please enter the PIN in the appropriate text box","Sie erhalten in Kürze eine PIN per Telefon/SMS. Geben Sie bitte die PIN in das entsprechende Textfeld ein"
"You have changed the order amount after getting PIN number, please try again with a new call","Sie haben die Bestellmenge nach dem Erhalt der PIN-Nummer geändert, versuchen Sie es bitte erneut mit einem neuen Anruf"
"You have changed the order amount after getting e-mail, please try again with a new call","Sie haben die Bestellmenge nach dem Erhalt der Email geändert, versuchen Sie es bitte erneut mit einem neuen Anruf"
"Please enter valid account details","Geben Sie bitte gültige Kontodaten ein"
"Please enter valid credit card details","Geben Sie bitte gültige Kreditkartendaten ein"
"Please enter the Telephone / Mobilenumber","Geben Sie bitte die Telefon- / Handynummer ein"
"Please enter the E-Mail Address","Bitte geben Sie die E-Mail-Adresse"
"Please confirm IBAN & BIC","Bitte bestätigen Sie IBAN und BIC"
"Basic parameter not valid","Ungültige Parameter für die Händlereinstellungen"
"Gateway request error: %s","Fehler beim übertragen der Daten: %s"
"Information","Informationen"
"Configuration","Konfiguration"
"Configuration-wizard","Konfigurationsprogramm"
"Risk and Control","Risikomanagement und Kontrolle"
"Novalnet Order Information","Novalnet Bestellinformationen"
"Novalnet Response Data","Novalnet Rückgabedaten"
"Novalnet Request Data","Novalnet Aufrufdaten"
"Request Data","Aufrufdaten"
"Response Data","Rückgabedaten"
"Novalnet Additional Information","Novalnet Zusätzliche Informationen"
"Novalnet Transactions Log","Novalnet - Transaktions-Log"
"Novalnet Transactions Overview","Novalnet - Transaktionsäbersicht"
"Transaction-Status","Status der Transaktion"
"Novalnet Transactions","Novalnet Transaktions"
"Transactions","Transaktions"
"Novalnet - Transaction Overview","Novalnet - Transaktionsäbersicht"
"Novalnet - Transaction Log","Novalnet - Transaktions-Log"
"Novalnet Shop Information","Novalnet Shop Informationen"
"Novalnet Payment","Novalnet Zahlung"
"Enable the payment Method and activate the Risk and Control option","Zahlungsart und Risikomanagement-Einstellungen aktivieren"
"Amount","Betrag"
"Payment Name","Zahlung-Name"
"Shop URL","Shop URL"
"Additional Data","Zusatzdaten"
"Payment Methods","Zahlungsmethode"
"General","General"
"Transaction-Status Text","Status-Nachricht der Transaktion"
"Customer-ID","Kundennummer"
"Transaction-ID","Transaktions-ID"
"Transaction deactivate","Transaktion deaktivieren"
"Not yet performed payment call","Zahlungsanruf noch nicht durchgeführt"
"Enable AMEX logo","AMEX-Logo aktivieren"
"To display AMEX logo in front end","AMEX-Logo im Frontend anzeigen"
"Order no","Bestellnr."
"Order No","Bestellnummer"
"Transaction Status","Transaktions-Status"
"Transaction","Transaktion"
"Transaction no","Transaktionsnr."
"Orders","Bestellungen"
"Payment period in days","Zahlungsfrist in Tagen"
"Novalnet Capture","Novalnet Erfassen"
"Refunded Transaction ID: %s","Transaktions-ID der Rückerstattung: %s"
"New Tid: %s","Neue TID: %s"
"amount refunded is %s","der erstattete Betrag ist %s"
"for the balance amount.","für den ausgeglichenen Betrag."
"refund amount %s","erstatteter Betrag %s"
"For Tid: %s","Für TID: %s"
"refund amount %s","erstatteter Betrag %s"
"for the refunded amount %s","der erstattete Betrag für ist %s"
"Not active","Nicht aktiv"
"Callback (Landline & mobile)","Callback (Telefon & Handy)"
"SMS (Mobile only)","SMS (nur Handy)"
"Email Reply","Antwort per Email"
"Transaction deactivated successfully","Transaktion erfolgreich deaktiviert"
"PIN you have entered is incorrect or empty!","Die eingegebene PIN ist falsch oder leer!"
"If yes, the entered payment data will be automatically refilled while error handling","Wenn ja, dann werden die eingegebenen Zahlungsdaten automatisch nach Fehlern wieder eingetragen"
"Customer ID","Kundennummer"
"Invoice Due Date description","Geben Sie bitte die Zahlungsfrist in Tagen ein - diese sollte größer als 6 sein. Wenn Sie diesen Wert leer lassen oder einen Wert < 7 eingeben, dann wird der Standardwert von 14 Tagen verwendet."
"No active payment method for this store","Für diesen Shop ist keine Zahlungsart aktiviert."
"Novalnet Method","Novalnet Methode"
"NN CC type","Kreditkartentyp"
"NN CC holder","Kreditkarteninhaber"
"NN CC number","Kreditkartennummer"
"NN Expiration Date","Gültigkeit (Monat/Jahr)"
"Month","Monat"
"Year","Jahr"
"NN CVC","CVC (Prüfziffer)"
"NN Country","Land der Bank"
"NN Confirm","Ich erteile hiermit das Mandat für die SEPA-Lastschriftzahlung (elektronische Übertragung) und bestätige, dass die angegebene IBAN und BIC korrekt sind."
"SEPA Direct Debit Mandate Confirmation","SEPA Lastschrift Mandatsbestätigung"
"Creditor","Zahlungsempfänger"
"Credit Identification Number","Gläubigiger-Identifikationsnummer"
"Mandate Reference","Mandatsreferenz"
"SEPA Confirm paragraph","Ich ermächtige den Zahlungsempfänger, Zahlungen von meinem Konto mittels Lastschrift einzuziehen. Zugleich weise ich mein Kreditinstitut an, die von dem Zahlungsempfänger auf mein Konto gezogenen Lastschriften einzulösen."
"SEPA Confirm note","Hinweis: Ich kann innerhalb von acht Wochen, beginnend mit dem Belastungsdatum, die Erstattung des belasteten Betrages verlangen. Es gelten dabei die mit meinem Kreditinstitut vereinbarten Bedingungen."
"Name of the payee","Name des Zahlungspflichtigen"
"Company","Firma"
"Address","Straße und Hausnummer"
"Zip Code And City","Postleitzahl und Ort"
"Country","Land"
"Email","E-Mail"
"conirm_mandate","Bestätigen"
"NN cancel","Stornieren"
"IBAN or Account Number","IBAN oder Kontonummer"
"BIC or Bank Code","BIC oder Bankleitzahl"
"NN_Reference1","1. Verwendungszweck"
"NN_Reference2","2. Verwendungszweck"
"NN_Reference3","3. Verwendungszweck"
"The hash functions are not available!","Die Hashfunktionen sind nicht verfügbar!"
"The methods for the handling of character sets are not available!","Die Methoden für die Verarbeitung von Zeichensätzen sind nicht verfügbar!"
