"Enabled";"Modul-Aktivierung"
"to following account";"auf folgendes Konto"
"Please note that the Transfer can only be identified with the above mentioned Reference";"Bitte beachten Sie, dass die Ueberweisung nur bearbeitet werden kann, 
wenn der oben angegebene Verwendungszweck verwendet wird"
"The ACDC-Check accepted";"Der ACDC-Check wird akzeptiert"
"accepted";"wird akzeptiert"
"ACDC-Check";"ACDC-Check"
"The";"Der"
"Month";"Monat"
"Year";"Jahr"
"Direct Debit German";"Lastschrift Deutschland"
"Direct Debit Austria";"Lastschrift Österreich"
"Booking Reference";"Verwendungszweck"
"The Bankcode must have a length of at least 8 digits";"Die BLZ muss mindestens 8-stellig sein"
"The Bankcode must have a length of at least 5 digits";"Die BLZ muss mindestens 5-stellig sein"
"You must check ACDC";"You must check ACDC"
"Notice for Clients";"Hinweis für Kunden"
"Pay by Call";"Per Telefon"
"Phonepayment";"Per Telefon"
"Error";"Fehler"
"Order Price not found";"Bestellsumme nicht gefunden"
"Amount below 0.90 Euro and above 10.00 Euro is not accepted";"Betraege unter 0.90 Euro und ueber 10.00 Euro koennen nicht verarbeitet werden bzw. werden nicht "
"akzeptiert!";
"Params (aryResponse) missing";"Params (aryResponse) fehlt"
"Following steps are required to complete the telephone payment process";"Folgende Schritte sind noetig um Ihre Zahlung abzuschliessen"
"Step";"Schritt"
"Please dial this number";"Bitte rufen Sie diese Telefonnummer an"
"Please wait for the Signal tone and hangup the reciever";"Bitte warten Sie auf den Signalton und legen Sie dann den Hoerer auf"
"Please click on continue after your successive call";"Nach Ihrem erfolgreichen Anruf klicken Sie bitte unten auf Weiter"
"This call costs";"Dieser Anruf kostet einmalig"
"inclusive tax";"inkl. MwSt."
"and is only possible from German Landline Telefon connection";"und ist nur vom Deutschen Festnetzanschluss moeglich"
"Response contains no XML data";"Response enthält keine XML Daten"
"Did you called this number";"Did you called this number"
"Billing Addr. not found";"Rechnungsadresse nicht gefunden"
"User Group Excluded";"Ausgeschlossene Benutzergruppe"
"Parameter missing";"Parameter fehlt"
"Comment";"Bemerkung"
"Email address missing";"Emailadresse nicht vorhanden"
"Instant Bank Transfer";"Sofortüberweisung"
"Customer successfully returned from Novalnet";"Besteller von Novalnet erfolgreich zurückgeleitet"
"Customer was redirected to Novalnet";"Besteller zu Novalnet umgeleitet"
"Customer aborted payment process";"Besteller hat den Bezahlvorgang abgebrochen"
"Customer was rejected by Novalnet";"Besteller von Novalnet abgelehnt"
"Novalnet Password";"Novalnet-Passwort"
"Test Mode";"Testmodus"
"Live Mode";"Livemodus"
"Testorder";"Testbestellung"
"Credit Card PCI";"Kreditkarte PCI"
"Direct Debit German PCI";"Lastschrift Deutschland PCI"
"Direct Debit Austria PCI";"Lastschrift Österreich PCI"
"Novalnet Phonepayment";"Novalnet Telefonpayment"
"Novalnet Prepayment";"Novalnet Vorauskasse"
"Novalnet Invoice";"Novalnet Kauf auf Rechnung"
"Novalnet Direct Debit";"Novalnet Lastschrift"
"Novalnet Credit Card";"Novalnet Kreditkarte"
"Novalnet Creditcard";"Novalnet Kreditkarte"
"Novalnet Credit Card 3D-Secure";"Novalnet Kreditkarte 3D Secure"
"Novalnet Credit Card PCI";"Novalnet Kreditkarte PCI"
"Novalnet Direct Debit German PCI";"Novalnet Lastschrift Deutschland PCI"
"Novalnet Direct Debit Austria PCI";"Novalnet Lastschrift Österreich PCI"
"Novalnet Instant Bank Transfer";"Novalnet Sofortüberweisung"
"You will be redirected to Novalnet AG 3D-Secure in a few seconds.";"Sie werden gleich auf die Novalnet AG 3D-Secure Schnittstelle umgeleitet."
"You will be redirected to Novalnet AG website when you place an order.";"Sie werden auf das Novalnet Payment Gateway umgeleitet, wenn Sie eine Bestellung 
aufgeben."
"Novalnet Direct Debit German";"Novalnet Lastschrift Deutschland"
"Novalnet Direct Debit Austria";"Novalnet Lastschrift Österreich"
"Only for foreign transfers";"Nur bei Auslandsüberweisungen"
"Please transfer the invoice amount with the following information to our payment provider Novalnet AG";"Bitte überweisen Sie den Betrag mit der folgenden "
"Information an unseren Zahlungsdienstleister Novalnet AG";
"You will be redirected to Novalnet AG in a few seconds";"Sie werden nach ein paar Sekunden auf das Gateway der Novalnet AG umgeleitet"
"Customer was redirected to Novalnet";"Endkunde wurde auf das Gateway der Novalnet AG umgeleitet"
"You will be redirected to Novalnet AG website when you place an order.";"Sie werden dann auf das Gateway der Novalnet AG umgeleitet."
"Minimum Order Total";"Mindestwert für Gesamtbestellung"
"Maximum Order Total";"Höchstwert für Gesamtbestellung"
"Minimum Orders Count";"Mindestanzahl an Bestellungen"
"Die Hashfunktionen sind nicht verf&uuml;gbar!";"Die Hashfunktionen sind nicht verf&uuml;gbar!"
